"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000033007",2.40213240921405,3.02993677393441,1.18129338892988,2.56493162691718,0.0103196138076539,0.0421297505205167
"ENSMUSG00000103928",17.2827316509606,-1.36834563194818,0.43872989255819,-3.11887941797057,0.00181540239437189,0.0119342513363044
"ENSMUSG00000100551",44.2111757421252,1.3173970439909,0.525415316362353,2.50734419603854,0.0121642195542956,0.0472436039599697
"ENSMUSG00000101746",25.2872853610511,2.29217582073125,0.429394541697351,5.3381577969541,9.38957238637834e-08,4.7513583668171e-06
"ENSMUSG00000012187",2458.61801518965,1.5524347426899,0.26620441850941,5.83173920020799,5.48526064648338e-09,4.22156504735628e-07
"ENSMUSG00000047330",68.7074867075736,1.28609836115563,0.197625710750248,6.50774818859956,7.62856513352728e-11,1.04330937072788e-08
"ENSMUSG00000026043",987.316859959716,2.14865525156175,0.184085337847201,11.6720607772969,1.77080992165746e-31,5.97382727071144e-28
"ENSMUSG00000084817",7160.37976791759,1.6312573916046,0.353293293405715,4.61728943643234,3.88784840876488e-06,0.000108096070936552
"ENSMUSG00000104520",92.8043446528769,1.21283804558765,0.427024423543022,2.840207676003,0.00450841725145683,0.0232733674028915
"ENSMUSG00000038496",193.175554130221,-1.15796267085848,0.197143629402882,-5.87370068394181,4.26172554348519e-09,3.45046346902735e-07
"ENSMUSG00000053963",7.82763010286288,1.23108341999184,0.437381038564967,2.81467030219459,0.00488272988746235,0.0245482701570108
"ENSMUSG00000005886",418.438391997816,-1.09101210389367,0.357391870025948,-3.05270543455412,0.00226788437904066,0.0140594939406315
"ENSMUSG00000078193",8012.19843117982,1.48977908232011,0.540091211141,2.7583842350865,0.00580878755940199,0.0279343475860907
"ENSMUSG00000073633",859.826897065762,1.23525531862135,0.304992528229094,4.05011665627917,5.11921066420242e-05,0.000824327311488633
"ENSMUSG00000026220",431.51419364498,-2.49288786488632,0.256132214453157,-9.73281658540549,2.18458645161406e-22,2.21091071835601e-19
"ENSMUSG00000064281",164.517088236593,1.02326508159687,0.353902911407862,2.8913723188267,0.00383563414522436,0.0206646448585271
"ENSMUSG00000026228",9.85646822253536,1.82681395078808,0.675047672912199,2.70619990867769,0.00680580626162143,0.0312869235842561
"ENSMUSG00000026348",2425.07827675246,1.51184993608006,0.235306808258058,6.42501569449715,1.31855912445542e-10,1.69993345465619e-08
"ENSMUSG00000073627",20.496692623019,1.03951998099152,0.411732215999985,2.52474773796074,0.0115781366315139,0.0456472659833409
"ENSMUSG00000025931",20.32487033942,-1.17778205867223,0.37962088081266,-3.10252180056832,0.00191879414731387,0.0124362191276914
"ENSMUSG00000087632",2.77629817387574,3.0620911637541,1.22879102804164,2.49195436317129,0.0127042359737783,0.0486835366045526
"ENSMUSG00000025934",3102.36394453305,1.2139073753188,0.296235925031538,4.09777232518157,4.17145270805368e-05,0.000703619785530954
