"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000097426",10.1151844645807,-2.44629720228418,0.598198278718357,-4.08944206179494,4.32412058462553e-05,0.000857900724118081
"ENSMUSG00000114943",41.9356716948087,1.64729683540724,0.289450120646799,5.6911250606019,1.2620502670403e-08,1.51754509223296e-06
"ENSMUSG00000114582",5.50648105294139,2.86835611764274,1.04011473836057,2.75773048093123,0.00582041653571468,0.0350523805710803
"ENSMUSG00000086235",7.63531708922497,2.11040230342088,0.598799664134632,3.5243879210767,0.000424462339779874,0.00494198134743618
"ENSMUSG00000103928",17.2827316509606,-2.15894690838381,0.548148419742463,-3.93861740839852,8.19524892365918e-05,0.00141174496564924
"ENSMUSG00000102211",7.12564558390907,2.33838479924464,0.817592458486113,2.86008606729872,0.00423526047960199,0.0279343075839988
"ENSMUSG00000026235",49.5372538466289,-1.18655268367585,0.383417327497541,-3.09467673623452,0.00197027509837196,0.0158443934311271
"ENSMUSG00000080950",40.191008095916,-1.54798604233901,0.407440721691381,-3.79929143045142,0.000145110374715142,0.00216307588963667
"ENSMUSG00000026043",987.316859959716,1.65997924654545,0.208916682031287,7.94565197190358,1.93172067670211e-15,3.00768909362518e-12
"ENSMUSG00000100397",34.8510763081708,1.2169364215179,0.282044544881021,4.31469582945225,1.59822805160605e-05,0.000406403693373846
"ENSMUSG00000099858",11846.63548372,-1.15307840833933,0.204125580084967,-5.64886776002969,1.61508031439838e-08,1.81615781354097e-06
"ENSMUSG00000055980",49.9334033356023,-1.81975616276559,0.508709092350641,-3.57720392681968,0.000347289234128711,0.00421431737889643
"ENSMUSG00000100627",8.06669448852088,-2.07138297788293,0.647517750934169,-3.19895937199338,0.00137924604360122,0.0121856478256361
"ENSMUSG00000026220",431.51419364498,-1.54125735567129,0.293054440571715,-5.25928681600757,1.44615176565847e-07,1.0199149090137e-05
"ENSMUSG00000073737",110.936663821135,1.47702924514947,0.271248258480817,5.44530406728465,5.17169629945283e-08,4.5125819453928e-06
"ENSMUSG00000100405",360.436707865803,1.68455275600156,0.419385746945435,4.01671436921945,5.9015180921984e-05,0.00109188873587009
"ENSMUSG00000004880",311.350805902163,-1.35709721876066,0.192186314338716,-7.06136242546833,1.64877933148568e-12,9.27026179127823e-10
"ENSMUSG00000099342",38.5933314982063,-1.89233585903858,0.414961216542347,-4.56027161961403,5.10874967479864e-06,0.000168255330330116
"ENSMUSG00000042807",85.4864248629281,-1.2206656181408,0.243807521351497,-5.00667744528262,5.53776104375869e-07,2.99705404509945e-05
"ENSMUSG00000052331",195.373832847042,-1.00609253085515,0.279231297714249,-3.60307937932063,0.000314469441612309,0.00393154784908878
"ENSMUSG00000041859",97.6620415813539,1.2728192497934,0.244452660233158,5.20681283885145,1.92111685089545e-07,1.28239792293491e-05
"ENSMUSG00000025936",238.254776119661,-1.08221015357878,0.354201641302147,-3.05535047663886,0.00224797661211765,0.0175612869957056
"ENSMUSG00000044854",9.48225524986868,1.61533033595102,0.54799133443324,2.947729707481,0.00320116824157345,0.0228392126815961
"ENSMUSG00000039377",107.260366526966,1.26953808114014,0.278967440839558,4.55084678455465,5.34304460895837e-06,0.000172485751084412
"ENSMUSG00000100131",21732.4983530587,-1.24196152611623,0.397304869779369,-3.12596602907463,0.00177222022576949,0.0146235261271098
"ENSMUSG00000067736",5233.82261185721,-1.61661806927494,0.493757221271911,-3.27411529316079,0.00105993355560417,0.00995088826483489
"ENSMUSG00000026715",82.8245822267485,1.08592427598977,0.309353521948507,3.51030196504608,0.000447598076981672,0.00514763220237842
"ENSMUSG00000043467",54.0147032037321,-1.07556865812996,0.338575059951786,-3.17675099365891,0.00148934851534885,0.012904442387459
"ENSMUSG00000038174",267.155594807993,-1.44687679126358,0.271632367852908,-5.32659933976308,1.00068561926125e-07,7.58609648669173e-06
"ENSMUSG00000059647",30.6739199012634,-1.43452308456422,0.542853702997998,-2.64255926899242,0.00822820628525682,0.0452082311128891
"ENSMUSG00000101514",35.3008717084064,-1.17278718358584,0.42611754621256,-2.75226212581451,0.0059185126427988,0.0354637698054738
"ENSMUSG00000100481",56.8809444348722,-1.01069401392226,0.371072097951897,-2.72371331474585,0.00645525137420223,0.0378178706411657
"ENSMUSG00000026605",16.9289116488403,1.9976867122294,0.543779804315388,3.67370523211038,0.000239058498195432,0.00321087130854263
"ENSMUSG00000066595",149.524377310094,-1.25151036122853,0.2276121208299,-5.49843460297889,3.83177594758694e-08,3.52403068043668e-06
"ENSMUSG00000101586",3.89134617180562,-3.82342905847212,1.44132708240436,-2.65271436660584,0.00798474079752854,0.044218642539747
"ENSMUSG00000097819",9.20255443166654,2.2174630502919,0.598148168549442,3.70721364184635,0.000209552156074665,0.00288337645532617
"ENSMUSG00000026697",26.6633560933866,1.22788154078947,0.457495025734747,2.68392325975012,0.00727638060338719,0.041232144398981
"ENSMUSG00000058248",10.4929048279865,-1.97325565698237,0.630998625545013,-3.12719485764015,0.00176482915089755,0.0145803701401295
"ENSMUSG00000102117",135.755295008313,1.22400530330921,0.417027226269742,2.93507288302923,0.00333469351341222,0.0234692390142478
"ENSMUSG00000016200",147.757687548857,-1.03301054540252,0.30901855805517,-3.34287543086033,0.000829151115729008,0.00825115424457761
"ENSMUSG00000081382",105.818825647935,1.68812451466451,0.353930742351133,4.76964646656699,1.84549518346767e-06,7.71790661334071e-05
"ENSMUSG00000085400",5.47220856988817,-2.50967406598664,0.817258824106117,-3.07084364458422,0.00213454897098757,0.016936654536166
"ENSMUSG00000084333",7.85963033316051,1.77252075224768,0.60321643764731,2.93844902363891,0.00329858898404853,0.0232880152166468
"ENSMUSG00000016179",45.312343381387,1.6971489475824,0.363009207433897,4.675222867154,2.93634560359157e-06,0.000111092656751957
"ENSMUSG00000102976",33.4957386794528,-1.40762466838386,0.443396261156832,-3.17464262037602,0.00150021145754395,0.0129602134494866
"ENSMUSG00000094410",38.0761010466556,-2.52196971656606,0.652455538979053,-3.86535107129656,0.000110929521142427,0.00179482369100229
"ENSMUSG00000104077",6.50102858967341,2.12062038241661,0.744993616497713,2.84649470204302,0.00442034647637476,0.0287784602857194
"ENSMUSG00000103659",9.06575704765036,-2.16351174307901,0.713775696068469,-3.03108070924213,0.00243680102012161,0.0185565423055987
"ENSMUSG00000104117",11.0699963448454,-1.42672146516724,0.517461876584738,-2.75715280627752,0.00583070967266428,0.0350969662971012
"ENSMUSG00000102302",6.03252394657608,-2.5927328334332,0.948888322017435,-2.73238986430013,0.00628766894759163,0.0370937648406302
"ENSMUSG00000026308",12.9828047000519,1.46066068914701,0.514092469321184,2.84124117024257,0.00449383139762589,0.02912572568663
"ENSMUSG00000010311",7.66432315904408,2.55976036680187,0.690210854724573,3.70866431508576,0.000208355432986118,0.00286892674766804
"ENSMUSG00000055866",233.923907067431,-1.46835154547551,0.377533808437325,-3.88932464499871,0.000100523572190123,0.0016609391949138
"ENSMUSG00000026260",7205.69445283906,1.03383073627074,0.204217022752312,5.06241214536085,4.13984855163557e-07,2.36041336714523e-05
"ENSMUSG00000096712",33.7634767445251,1.11438671324117,0.382140858001749,2.91616740242959,0.00354360313921666,0.0244631893386372
"ENSMUSG00000097680",16.8978701696626,-1.18841074863835,0.427085875572093,-2.78260372588169,0.0053924625029473,0.0332438421698325
"ENSMUSG00000015843",23.5908691948778,1.34751651341502,0.413458596440886,3.25913289750086,0.00111753304909526,0.0103761405718978
"ENSMUSG00000026683",18.891934392361,1.40218019679311,0.449771753693862,3.11753725145556,0.00182368898053344,0.0149386032598047
"ENSMUSG00000094191",14.7735926577033,1.55349225066359,0.530614168012164,2.9277247844388,0.00341452141061321,0.0238650994033915
"ENSMUSG00000051185",636.609502652921,-1.25330430998483,0.264997608587248,-4.72949290624331,2.25081318963788e-06,9.00369758329257e-05
"ENSMUSG00000100454",46.7156407634391,-1.51589447219006,0.418023178415603,-3.62634071616704,0.000287466003523268,0.00369669591951364
"ENSMUSG00000026414",23.9457847393991,2.75449158369488,0.670429488335491,4.10854777664031,3.98154844700688e-05,0.000812404456813167
