"","corPvalueStudent.gene.signf.corr..nSamples.","symbol"
"ENSMUSG00000020843",0.00604550749103227,"Timm22"
"ENSMUSG00000017386",0.00604565469096262,"Traf4"
"ENSMUSG00000113811",0.00604634022381322,NA
"ENSMUSG00000031592",0.00605223692049391,"Pcm1"
"ENSMUSG00000027552",0.00605272471878116,"E2f5"
"ENSMUSG00000030649",0.00605547491078833,"Anapc15"
"ENSMUSG00000079494",0.00605622472073833,"Nat8f5"
"ENSMUSG00000067869",0.00606135503567195,NA
"ENSMUSG00000028542",0.00607411522391701,"Slc6a9"
"ENSMUSG00000024312",0.0060768612091382,"Wdr46"
"ENSMUSG00000037594",0.00609128357123728,"Clba1"
"ENSMUSG00000029422",0.0061008984170748,"Rsrc2"
"ENSMUSG00000095134",0.00610093190639617,NA
"ENSMUSG00000022095",0.00610269326849732,"Fhip2b"
"ENSMUSG00000035764",0.00610655680589193,"Fbxo45"
"ENSMUSG00000071415",0.00611136892932456,"Rpl23"
"ENSMUSG00000038429",0.00612179777820138,"Usp5"
"ENSMUSG00000075595",0.00612724473451647,"Zfp652"
"ENSMUSG00000037573",0.00612787980477298,"Tob1"
"ENSMUSG00000002365",0.00612838185294102,"Snx9"
"ENSMUSG00000011658",0.00613096327612173,"Fuz"
"ENSMUSG00000018287",0.00613337918284178,"Spag7"
"ENSMUSG00000097930",0.00613996278021478,NA
"ENSMUSG00000026466",0.00614317924562277,"Tor1aip1"
"ENSMUSG00000015652",0.00614428027417336,"Steap1"
"ENSMUSG00000027378",0.00614752137020849,"Nphp1"
"ENSMUSG00000085793",0.00615636131612491,"Lin52"
"ENSMUSG00000049504",0.00615733265754839,"Proser1"
"ENSMUSG00000028868",0.00616221308847866,"Wasf2"
"ENSMUSG00000020660",0.00616303570981941,"Pomc"
"ENSMUSG00000036398",0.00616350179553865,"Ppp1r11"
"ENSMUSG00000026930",0.00616528177584902,"Gpsm1"
"ENSMUSG00000027201",0.00616859475559805,"Myef2"
"ENSMUSG00000045636",0.00617179104207988,"Mtus1"
"ENSMUSG00000000318",0.00618303130057271,"Clec10a"
"ENSMUSG00000028901",0.00618537912073053,"Gmeb1"
"ENSMUSG00000021357",0.00619044748709479,"Exoc2"
"ENSMUSG00000015970",0.00619056868462501,"Chdh"
"ENSMUSG00000027207",0.00619446528881704,"Galk2"
"ENSMUSG00000057788",0.00619774942884486,"Ddx49"
"ENSMUSG00000058440",0.00620272301919759,"Nrf1"
"ENSMUSG00000035642",0.00621478610756085,"Aamdc"
"ENSMUSG00000101523",0.00621582404568111,"Csnk2a1-ps3"
"ENSMUSG00000030587",0.00622212061349118,"2200002D01Rik"
"ENSMUSG00000045319",0.00624274682080856,"Proser2"
"ENSMUSG00000037001",0.00624387562957824,"Zfp39"
"ENSMUSG00000070443",0.0062446571418526,"Gm10291"
"ENSMUSG00000029148",0.00624514611468048,"Nrbp1"
"ENSMUSG00000005881",0.00624533199334812,"Ergic3"
"ENSMUSG00000033880",0.00624629305595327,"Lgals3bp"
"ENSMUSG00000082274",0.0062501851466343,NA
"ENSMUSG00000039048",0.00625060758890669,"Foxred1"
"ENSMUSG00000021807",0.00625182276441142,"Rtraf"
"ENSMUSG00000006307",0.00625301441312164,"Kmt2b"
"ENSMUSG00000094191",0.00626194320368924,"Rpl31-ps14"
"ENSMUSG00000040181",0.00626386044701766,"Fmo1"
"ENSMUSG00000025026",0.00626862839038645,"Add3"
"ENSMUSG00000029167",0.00626959626963113,"Ppargc1a"
"ENSMUSG00000022223",0.00627807364290991,"Sdr39u1"
"ENSMUSG00000075276",0.00628062194182747,"Gm13653"
"ENSMUSG00000078908",0.00628787251574069,"Mon1b"
"ENSMUSG00000021999",0.00628952189995448,"Cpb2"
"ENSMUSG00000107994",0.00628954476686177,NA
"ENSMUSG00000021731",0.00629102612231778,"Mrps30"
"ENSMUSG00000079465",0.00629182469346397,"Col4a3"
"ENSMUSG00000020205",0.00629267661974181,"Phlda1"
"ENSMUSG00000021895",0.00629334492485606,"Arhgef3"
"ENSMUSG00000025203",0.00629873026151088,"Scd2"
"ENSMUSG00000108772",0.00630175797209332,NA
"ENSMUSG00000042389",0.00630534873699757,"Tsen2"
"ENSMUSG00000042148",0.00631349252707453,"Cox10"
"ENSMUSG00000031955",0.00631441753867965,"Bcar1"
"ENSMUSG00000038775",0.00631644624368236,"Vill"
"ENSMUSG00000040550",0.0063187858904859,"Otud6b"
"ENSMUSG00000052942",0.00632235394995408,"Glis3"
"ENSMUSG00000019856",0.00632820585515297,"Fam184a"
"ENSMUSG00000037278",0.00632942192772809,"Tmem97"
"ENSMUSG00000035168",0.00633070664662755,"Tanc1"
"ENSMUSG00000074912",0.00633133512809486,"Gm14207"
"ENSMUSG00000024130",0.00633440195249661,"Abca3"
"ENSMUSG00000029999",0.00633880199441956,"Tgfa"
"ENSMUSG00000118049",0.0063470606397336,NA
"ENSMUSG00000014164",0.0063484004215302,"Klhl3"
"ENSMUSG00000026915",0.0063498818955983,"Strbp"
"ENSMUSG00000043621",0.00635143683500555,"Ubxn10"
"ENSMUSG00000003662",0.00635378166530499,"Ciao1"
"ENSMUSG00000081926",0.00635727870865978,NA
"ENSMUSG00000038546",0.00635864794246595,"Ranbp9"
"ENSMUSG00000059363",0.00636299876220949,"Fxn"
"ENSMUSG00000027257",0.0063651044327863,"Pacsin3"
"ENSMUSG00000116648",0.00637409804698777,"Rpl31-ps12"
"ENSMUSG00000063882",0.00637584801305947,"Uqcrh"
"ENSMUSG00000060143",0.00638134287437649,"Gm10076"
"ENSMUSG00000032615",0.00639182961383562,"Nt5m"
"ENSMUSG00000018347",0.00639409288859555,"Zkscan6"
"ENSMUSG00000039834",0.00639737009222607,"Zfp335"
"ENSMUSG00000039377",0.00640309299612312,"Hlx"
"ENSMUSG00000036777",0.00640394250148125,"Anln"
"ENSMUSG00000032898",0.00640871271105985,"Fbxo21"
"ENSMUSG00000040697",0.00641143341298782,"Dnajc16"
"ENSMUSG00000038437",0.00641385241509969,"Mllt6"
"ENSMUSG00000028291",0.00641597630500027,"Akirin2"
"ENSMUSG00000097047",0.00641692290819494,"1110020A21Rik"
"ENSMUSG00000000303",0.00641791899712577,"Cdh1"
"ENSMUSG00000055720",0.00641852341800342,"Ubl7"
"ENSMUSG00000026639",0.00641971957724849,"Lamb3"
"ENSMUSG00000023150",0.00643260066957551,"Ivns1abp"
"ENSMUSG00000020297",0.00643562765893727,"Nsg2"
"ENSMUSG00000068417",0.00644652712323784,"Pnp2"
"ENSMUSG00000054509",0.00645026401913318,"Parp4"
"ENSMUSG00000032288",0.0064560127414703,"Imp3"
"ENSMUSG00000037997",0.00645809824152641,"Parp11"
"ENSMUSG00000082329",0.00646596763878193,NA
"ENSMUSG00000020817",0.00646755085632728,"Rabep1"
"ENSMUSG00000029833",0.00647022691952598,"Trim24"
"ENSMUSG00000022521",0.00647499171803229,"Crebbp"
"ENSMUSG00000082152",0.00647600897484745,NA
"ENSMUSG00000072235",0.00648004603445446,"Tuba1a"
"ENSMUSG00000009687",0.00648042701167919,"Fxyd5"
"ENSMUSG00000056076",0.00648194037885026,"Eif3b"
"ENSMUSG00000022390",0.0064880624979927,"Zc3h7b"
"ENSMUSG00000025495",0.00649526369358265,"Ptdss2"
"ENSMUSG00000029246",0.00649789991497461,"Ppat"
"ENSMUSG00000018585",0.0065097236315696,"Atox1"
"ENSMUSG00000116305",0.00650978729856894,NA
"ENSMUSG00000059602",0.00651190236901405,"Syn3"
"ENSMUSG00000010607",0.00652375796186583,"Pigyl"
"ENSMUSG00000022146",0.00652542438915237,"Osmr"
"ENSMUSG00000112145",0.00652613837637185,"Gm6218"
"ENSMUSG00000007050",0.00652865295823084,"Lsm2"
"ENSMUSG00000006676",0.00653199834394647,"Usp19"
"ENSMUSG00000083649",0.00653986495623555,"Rasl2-9"
"ENSMUSG00000001802",0.00654659237956637,"Lrp3"
"ENSMUSG00000000673",0.00655800706911079,"Haao"
"ENSMUSG00000045064",0.00656411569608157,"Zc2hc1c"
"ENSMUSG00000018599",0.00658580287049552,"Mief2"
"ENSMUSG00000043467",0.00658814940284075,"Zbtb37"
"ENSMUSG00000026663",0.00658922114422355,"Atf6"
"ENSMUSG00000025499",0.00660007569113961,"Hras"
"ENSMUSG00000045337",0.00660133772593112,"Defb11"
"ENSMUSG00000079105",0.0066084660265797,"C7"
"ENSMUSG00000024757",0.0066140078186814,"Slc22a19"
"ENSMUSG00000028256",0.00662525317756435,"Odf2l"
"ENSMUSG00000074158",0.00662667194029541,"Zfp976"
"ENSMUSG00000053613",0.00662754814550375,NA
"ENSMUSG00000070462",0.00663113661679887,"Tlnrd1"
"ENSMUSG00000030108",0.00663443895011125,"Slc6a13"
"ENSMUSG00000021248",0.00663513678056404,"Tmed10"
"ENSMUSG00000005034",0.00663566212113758,"Prkacb"
"ENSMUSG00000022435",0.00664036880440102,"Upk3a"
"ENSMUSG00000073877",0.00665670850232496,"Gm13306"
"ENSMUSG00000032560",0.00665899430387388,"Dnajc13"
"ENSMUSG00000052656",0.00666656441258535,"Rnf103"
"ENSMUSG00000037902",0.00666790501593714,"Sirpa"
"ENSMUSG00000026721",0.00667966865578346,"Rabgap1l"
"ENSMUSG00000031442",0.00668141079002267,"Mcf2l"
"ENSMUSG00000040396",0.00669669312039004,"Abhd13"
"ENSMUSG00000036402",0.0066975562876743,"Gng12"
"ENSMUSG00000040663",0.00670006662061489,"Clcf1"
"ENSMUSG00000111380",0.00670749568429234,NA
"ENSMUSG00000027955",0.00670789608434001,"Gask1b"
"ENSMUSG00000049327",0.00671787656678682,"Kmt5a"
"ENSMUSG00000041313",0.00672018723510188,"Slc7a1"
"ENSMUSG00000024180",0.00672111303510051,"Pgap6"
"ENSMUSG00000058173",0.00673717027475575,"Smco4"
"ENSMUSG00000102117",0.0067377271091315,"Rpsa-ps1"
"ENSMUSG00000085175",0.006740142044656,"Gm11423"
"ENSMUSG00000091387",0.00674296596399573,"Gcnt4"
"ENSMUSG00000083283",0.00674378943479188,NA
"ENSMUSG00000045667",0.00674658341561188,"Smtnl2"
"ENSMUSG00000031383",0.00674992113481159,"Dusp9"
"ENSMUSG00000036214",0.0067528618814045,"Polr1has"
"ENSMUSG00000024902",0.006758152270407,"Mrpl11"
"ENSMUSG00000075467",0.00675945002602457,"Dnlz"
"ENSMUSG00000014232",0.00676307208429238,"Cluap1"
"ENSMUSG00000027164",0.00677284805275654,"Traf6"
"ENSMUSG00000032648",0.00677411993143896,"Pygm"
"ENSMUSG00000029247",0.00677513545053054,"Paics"
"ENSMUSG00000025870",0.00678025791186209,"Arl10"
"ENSMUSG00000030220",0.00679386017080782,"Arhgdib"
"ENSMUSG00000014444",0.00679390652169439,"Piezo1"
"ENSMUSG00000022601",0.00680200789118179,"Zbtb11"
"ENSMUSG00000063704",0.00680236277700943,"Mapk15"
"ENSMUSG00000032400",0.00681035871089075,"Zwilch"
"ENSMUSG00000040390",0.00681175036371333,"Map3k10"
"ENSMUSG00000031294",0.00681255749031296,"D630029K05Rik"
"ENSMUSG00000114217",0.00681824058672005,"Gm7054"
"ENSMUSG00000068860",0.00682417837928367,"Gm128"
"ENSMUSG00000039701",0.0068275082425119,"Usp53"
"ENSMUSG00000030232",0.00683167382981218,"Aebp2"
"ENSMUSG00000039046",0.0068386789904775,"Usp6nl"
"ENSMUSG00000031673",0.0068391504015592,"Cdh11"
"ENSMUSG00000033157",0.00684090102395141,"Abhd10"
"ENSMUSG00000056211",0.00684143389071243,"R3hdm1"
"ENSMUSG00000031737",0.00684471673661143,"Irx5"
"ENSMUSG00000021607",0.0068589799416079,"Mrpl36"
"ENSMUSG00000034156",0.00686546295870466,"Tspoap1"
"ENSMUSG00000026270",0.00686628663306691,"Capn10"
"ENSMUSG00000075581",0.00686825044217225,"Gm16409"
"ENSMUSG00000085933",0.00686863122049572,"Tmem61"
"ENSMUSG00000020522",0.00688679474593455,"Mfap3"
"ENSMUSG00000083902",0.00689054997500973,NA
"ENSMUSG00000062761",0.00690473717612743,"Zfp512"
"ENSMUSG00000001827",0.00690479468690498,"Folr1"
"ENSMUSG00000033191",0.0069096825223061,"Tie1"
"ENSMUSG00000084941",0.00690969531793355,"Gm11944"
"ENSMUSG00000018286",0.00691049596495066,"Psmb6"
"ENSMUSG00000034255",0.00691100416621457,"Arhgap27"
"ENSMUSG00000021508",0.00691275002550344,"Cxcl14"
"ENSMUSG00000050493",0.00691288882606328,"Fam167b"
"ENSMUSG00000062115",0.00691870921836033,"Rai1"
"ENSMUSG00000049489",0.00691987353836998,"Ccnq"
"ENSMUSG00000037730",0.00693211704142138,"Mynn"
"ENSMUSG00000019132",0.00693453469089036,"BC005537"
"ENSMUSG00000028300",0.00694821001867829,"C9orf72"
"ENSMUSG00000024887",0.0069495533698383,"Asah2"
"ENSMUSG00000036639",0.00695399826466345,"Nudt1"
"ENSMUSG00000082755",0.00695881645986406,"Gm8692"
"ENSMUSG00000082088",0.00696603090889576,"Gm15753"
"ENSMUSG00000024959",0.00696942876106245,"Bad"
"ENSMUSG00000027811",0.00697101547968111,"4930579G24Rik"
"ENSMUSG00000028871",0.00697290912213484,"Rspo1"
"ENSMUSG00000070371",0.0069733275280207,"Prss36"
"ENSMUSG00000028550",0.00697334318521906,"Atg4c"
"ENSMUSG00000021594",0.00698410674074806,"Srd5a1"
"ENSMUSG00000074435",0.00698536884002695,"Smcp"
"ENSMUSG00000045973",0.00698942470700235,"Slc25a51"
"ENSMUSG00000033565",0.00699097053500569,"Rbfox2"
"ENSMUSG00000045555",0.00700951616837175,"Mettl24"
"ENSMUSG00000030103",0.00701025184508496,"Bhlhe40"
"ENSMUSG00000034723",0.00701487791329089,"Tmx4"
"ENSMUSG00000010911",0.00702273128438619,"Apip"
"ENSMUSG00000048327",0.00702876382281523,"Ckap2l"
"ENSMUSG00000042726",0.00704730130961001,"Trafd1"
"ENSMUSG00000027427",0.00704823351438754,"Polr3f"
"ENSMUSG00000006567",0.00705654153338396,"Atp7b"
"ENSMUSG00000090236",0.00705666971596626,"Car15"
"ENSMUSG00000074102",0.00705785621783403,"Rbm15b"
"ENSMUSG00000027300",0.00706961775577298,"Ubox5"
"ENSMUSG00000038644",0.00707947455500998,"Pold1"
"ENSMUSG00000037526",0.00708490662458781,"Atg14"
"ENSMUSG00000047654",0.00709056809737306,"Tssk6"
"ENSMUSG00000034837",0.0070984904662318,"Gnat1"
"ENSMUSG00000056019",0.00710276887277887,"Zfp709"
"ENSMUSG00000006724",0.00710613101442414,"Cyp27b1"
"ENSMUSG00000035773",0.00711986115344105,"Kiss1r"
"ENSMUSG00000003970",0.00712378307168616,"Rpl8"
"ENSMUSG00000038578",0.00712986097730025,"Susd1"
"ENSMUSG00000078444",0.00713264908812539,"Gm10941"
"ENSMUSG00000058230",0.00713299627029572,"Arhgap35"
"ENSMUSG00000028961",0.00714592081424301,"Pgd"
"ENSMUSG00000052748",0.00715078296927464,"Swt1"
"ENSMUSG00000041319",0.00715100570056709,"Thoc6"
"ENSMUSG00000061887",0.00715105548988573,"Ssbp3"
"ENSMUSG00000061718",0.00715560699602805,"Ppp1r1b"
"ENSMUSG00000040383",0.0071585936153258,"Aqr"
"ENSMUSG00000033060",0.00715884577488712,"Lmo7"
"ENSMUSG00000025823",0.00717061186882519,"Pdia4"
"ENSMUSG00000044268",0.00717569609942626,NA
"ENSMUSG00000052520",0.00717637735463562,"Cyp2j5"
"ENSMUSG00000028017",0.00717846119039913,"Egf"
"ENSMUSG00000087305",0.00718115044585489,"A430035B10Rik"
"ENSMUSG00000023852",0.00719660845440897,"Chd1"
"ENSMUSG00000059835",0.00719769900099307,"Rpl13-ps3"
"ENSMUSG00000021371",0.00720443445353846,"Mcur1"
"ENSMUSG00000027171",0.00720808134066769,"Prrg4"
"ENSMUSG00000038143",0.00721152066868773,"Stox2"
"ENSMUSG00000096852",0.00721266001697535,"Cyp2d12"
"ENSMUSG00000047496",0.00721987401210834,"Rnf152"
"ENSMUSG00000032046",0.0072264638579596,"Abhd12"
"ENSMUSG00000011096",0.0072284041385145,"Akt1s1"
"ENSMUSG00000022560",0.0072330209401566,"Slc52a2"
"ENSMUSG00000031851",0.00723436578338174,"Ntpcr"
"ENSMUSG00000026276",0.00724092180359249,"Septin2"
"ENSMUSG00000015165",0.00724680846454669,"Hnrnpl"
"ENSMUSG00000038650",0.0072470572646347,"Rnh1"
"ENSMUSG00000053470",0.00725012827196755,"Kdm3a"
"ENSMUSG00000071369",0.00726246577326238,"Map3k5"
"ENSMUSG00000036537",0.00727181857879159,"Rnf113a1"
"ENSMUSG00000083382",0.00727203635091622,NA
"ENSMUSG00000103839",0.00727742740764967,NA
"ENSMUSG00000034674",0.00728270873923198,"Tdg"
"ENSMUSG00000058174",0.00728771460062908,"Gm5148"
"ENSMUSG00000040093",0.00728848910223832,"Bmf"
"ENSMUSG00000020691",0.00729552469007373,"Mettl2"
"ENSMUSG00000025127",0.00729603117538147,"Gcgr"
"ENSMUSG00000056310",0.00731367193329637,"Tyw1"
"ENSMUSG00000114254",0.00731392180676704,NA
"ENSMUSG00000027160",0.00731483434692173,"Ccdc34"
"ENSMUSG00000022221",0.00734015799502812,"Ripk3"
"ENSMUSG00000015668",0.00734803863037889,"Pdzd11"
"ENSMUSG00000067995",0.00735189736726062,"Gtf2f2"
"ENSMUSG00000037608",0.0073522698629599,"Bclaf1"
"ENSMUSG00000040557",0.00735395906024124,"Mettl27"
"ENSMUSG00000044469",0.00735913632459777,"Tnfaip8l1"
"ENSMUSG00000087213",0.00736573630557128,"2810408I11Rik"
"ENSMUSG00000023707",0.00736729258803598,"Ogfod2"
"ENSMUSG00000042167",0.00737453718654032,"Tent2"
"ENSMUSG00000040481",0.00737957820906763,"Bptf"
"ENSMUSG00000015597",0.00738266491456463,"Zfp318"
"ENSMUSG00000015335",0.00738957732754657,"Zdhhc12"
"ENSMUSG00000043079",0.00739336443705911,"Synpo"
"ENSMUSG00000010755",0.00739553988506351,"Cars"
"ENSMUSG00000101517",0.00739949445491565,NA
"ENSMUSG00000024672",0.00741218939681812,"Ms4a7"
"ENSMUSG00000030079",0.00741474878769954,"Ruvbl1"
"ENSMUSG00000017737",0.00741529622395652,"Mmp9"
"ENSMUSG00000026036",0.00742182667574557,"Nif3l1"
"ENSMUSG00000071335",0.00742567269017691,NA
"ENSMUSG00000024427",0.00742809142491163,"Spry4"
"ENSMUSG00000032959",0.00742825153882481,"Pebp1"
"ENSMUSG00000028044",0.00743243105175323,"Cks1b"
"ENSMUSG00000050079",0.00743248693663318,"Rspry1"
"ENSMUSG00000068686",0.00743393241904953,"Cd59b"
"ENSMUSG00000000167",0.00743596219863564,"Pih1d2"
"ENSMUSG00000081221",0.00744879528358818,"Gm14760"
"ENSMUSG00000025487",0.00745439023083488,"Psmd13"
"ENSMUSG00000070643",0.00745627911871605,"Sox13"
"ENSMUSG00000055204",0.00745843129880277,"Ankrd17"
"ENSMUSG00000073413",0.00747315600774531,"Ly6g6d"
"ENSMUSG00000019877",0.00747560460481155,"Serinc1"
"ENSMUSG00000027710",0.00748209194432906,"Acad9"
"ENSMUSG00000004633",0.00748471098603774,"Chn2"
"ENSMUSG00000022987",0.00749936906339835,"Zfp641"
"ENSMUSG00000053483",0.00750146755585852,"Usp21"
"ENSMUSG00000073427",0.00750169232116453,"Gm4924"
"ENSMUSG00000105449",0.00750958767374306,NA
"ENSMUSG00000078350",0.00751712567179604,"Smim1"
"ENSMUSG00000066632",0.00751788732633873,NA
"ENSMUSG00000034532",0.00752738589361276,"Fbxo16"
"ENSMUSG00000071650",0.00752794085652574,"Ganab"
"ENSMUSG00000030763",0.00753457661270998,"Lcmt1"
"ENSMUSG00000036712",0.00753569882829916,"Cyld"
"ENSMUSG00000089804",0.00753640697580805,"Gm16136"
"ENSMUSG00000100153",0.00754029023324972,"Ppp1ccb"
"ENSMUSG00000040133",0.00755292299908093,"Gpr176"
"ENSMUSG00000007617",0.00755715050224478,"Homer1"
"ENSMUSG00000039037",0.00756252406335351,"St6galnac5"
"ENSMUSG00000024181",0.00756328146982327,"Mrpl28"
"ENSMUSG00000039745",0.00756599813972604,"Htatip2"
"ENSMUSG00000040359",0.00757821924983902,"Ufl1"
"ENSMUSG00000029524",0.00757941126299979,"Sirt4"
"ENSMUSG00000048022",0.00758104167827373,"Tmem229a"
"ENSMUSG00000043833",0.00758200768771248,"2900005J15Rik"
"ENSMUSG00000020832",0.00758224784841098,"Eral1"
"ENSMUSG00000047030",0.00758411093069051,"Spata2"
"ENSMUSG00000007892",0.00758490303100552,"Rplp1"
"ENSMUSG00000030104",0.00758512540799656,"Edem1"
"ENSMUSG00000035953",0.00759206986346959,"Pip4p1"
"ENSMUSG00000034055",0.00759554176556741,"Phka1"
"ENSMUSG00000032328",0.00760114896736594,"Tmem30a"
"ENSMUSG00000101174",0.00760191161148073,"Hoxd4"
"ENSMUSG00000114179",0.00761560671627409,NA
"ENSMUSG00000039660",0.00762591616829452,"Spout1"
"ENSMUSG00000032278",0.00762697759290137,"Paqr5"
"ENSMUSG00000025968",0.00762793226619263,"Ndufs1"
"ENSMUSG00000063011",0.00763506037361131,"Msln"
"ENSMUSG00000040855",0.00763830337836774,"Reps2"
"ENSMUSG00000055676",0.00764469979825052,NA
"ENSMUSG00000068740",0.00764585636194462,"Celsr2"
"ENSMUSG00000022122",0.00764744770544894,"Ednrb"
"ENSMUSG00000071266",0.00764801687503871,"Zfp946"
"ENSMUSG00000045078",0.00766063856759005,"Rnf216"
"ENSMUSG00000068227",0.00766082912836644,"Il2rb"
"ENSMUSG00000094796",0.00766282821314215,"BC147527"
"ENSMUSG00000098009",0.00766853977043298,NA
"ENSMUSG00000026676",0.00766878021274489,"Ccdc3"
"ENSMUSG00000062127",0.00767374828744103,"Cttnbp2nl"
"ENSMUSG00000001436",0.00767473504124813,"Slc19a1"
"ENSMUSG00000104222",0.00767570006034515,NA
"ENSMUSG00000017493",0.00767737639116022,"Igfbp4"
"ENSMUSG00000086316",0.00770083763757178,"Nbdy"
"ENSMUSG00000062846",0.0077104204655566,NA
"ENSMUSG00000031505",0.00771600236073581,"Naxd"
"ENSMUSG00000039954",0.00771727682181645,"Stk32a"
"ENSMUSG00000020527",0.00772032059995093,"Myo19"
"ENSMUSG00000066607",0.00772422264405844,"Insyn1"
"ENSMUSG00000031226",0.00772565360249919,"Pbdc1"
"ENSMUSG00000078877",0.00772633919970553,"Gm2004"
"ENSMUSG00000083619",0.00773705025931949,"Gm14414"
"ENSMUSG00000029608",0.00774563030890987,"Rph3a"
"ENSMUSG00000020491",0.00775001485807014,"2810021J22Rik"
"ENSMUSG00000065954",0.00775345439363857,"Tacc1"
"ENSMUSG00000037709",0.00775766514746676,"Fam13a"
"ENSMUSG00000036273",0.00775793992825978,"Lrrk2"
"ENSMUSG00000030268",0.00776091733597267,"Bcat1"
"ENSMUSG00000047793",0.00776538563520713,"Sned1"
"ENSMUSG00000032078",0.00777140348859821,"Zpr1"
"ENSMUSG00000034442",0.0077730527345889,"Trmt5"
"ENSMUSG00000028545",0.00777395985897636,"Bend5"
"ENSMUSG00000028234",0.00777530181093898,"Rps20"
"ENSMUSG00000008575",0.00777621338433864,"Nfib"
"ENSMUSG00000026643",0.00778133779496536,"Nmt2"
"ENSMUSG00000032549",0.00778685996826247,"Rab6b"
"ENSMUSG00000116620",0.00779164865099704,NA
"ENSMUSG00000024922",0.00779285196668426,"Ovol1"
"ENSMUSG00000068184",0.00779895070484615,"Ndufaf2"
"ENSMUSG00000018446",0.00780886836525157,"C1qbp"
"ENSMUSG00000092454",0.00781278988492267,NA
"ENSMUSG00000030337",0.00782066189708646,"Vamp1"
"ENSMUSG00000044434",0.00782476435110504,NA
"ENSMUSG00000020122",0.00782492286310162,"Egfr"
"ENSMUSG00000085465",0.00782871861911722,NA
"ENSMUSG00000022889",0.00783352018102906,"Mrpl39"
"ENSMUSG00000022193",0.00784245390729508,"Psmb5"
"ENSMUSG00000111329",0.00784496160748395,"A830035O19Rik"
"ENSMUSG00000002308",0.00784801621271288,"Cd320"
"ENSMUSG00000061904",0.00785943155901321,"Slc25a3"
"ENSMUSG00000035569",0.00786139719167087,"Ankrd11"
"ENSMUSG00000032966",0.00786194715305154,"Fkbp1a"
"ENSMUSG00000017679",0.00786323032751577,"Ttpal"
"ENSMUSG00000104887",0.00787705614669026,NA
"ENSMUSG00000022900",0.00787720818791434,"Ildr1"
"ENSMUSG00000024121",0.00788155764517572,"Atp6v0c"
"ENSMUSG00000021185",0.00788399859546409,"Dglucy"
"ENSMUSG00000025868",0.00788591886681494,"Higd2a"
"ENSMUSG00000021481",0.0078873047233453,"Zfp346"
"ENSMUSG00000006423",0.00790375875951982,"Steep1"
"ENSMUSG00000030551",0.00791058217113598,"Nr2f2"
"ENSMUSG00000033228",0.00791887268547672,"Scaf11"
"ENSMUSG00000027317",0.00793201388525548,"Ppp1r14d"
"ENSMUSG00000037022",0.00793239142119513,"Mmaa"
"ENSMUSG00000038781",0.00793873632362129,"Stap2"
"ENSMUSG00000031010",0.00795202264000368,"Usp9x"
"ENSMUSG00000085436",0.0079614347415984,"Zfp335os"
"ENSMUSG00000059248",0.00796903973361245,"Septin9"
"ENSMUSG00000020954",0.00798077129765016,"Strn3"
"ENSMUSG00000021820",0.00798339960525067,"Camk2g"
"ENSMUSG00000023048",0.00799406950849513,"Prr13"
"ENSMUSG00000028228",0.00799681947419968,"Cpne3"
"ENSMUSG00000000275",0.00799819023268662,"Trim25"
"ENSMUSG00000022821",0.00800544909780341,"Hgd"
"ENSMUSG00000031077",0.00801742138924288,"Fadd"
"ENSMUSG00000027223",0.00802285714933218,"Mapk8ip1"
"ENSMUSG00000032534",0.00803212431657421,"Cep63"
"ENSMUSG00000034867",0.00803429109876892,"Ankrd27"
"ENSMUSG00000099681",0.0080370050037927,NA
"ENSMUSG00000026640",0.00804032689404231,"Plxna2"
"ENSMUSG00000083179",0.00804095233091298,NA
"ENSMUSG00000042793",0.00804511101295768,"Lgr6"
"ENSMUSG00000024099",0.00804791589523629,"Ndufv2"
"ENSMUSG00000062582",0.00804980340289559,NA
"ENSMUSG00000038462",0.00805332579859146,"Uqcrfs1"
"ENSMUSG00000032766",0.00805749634692206,"Gng11"
"ENSMUSG00000059273",0.00806167909426193,"Zc3h4"
"ENSMUSG00000095403",0.00806766545992941,"Gm21092"
"ENSMUSG00000063089",0.0080713122829048,"Klk1b8"
"ENSMUSG00000031527",0.00807876506927356,"Eri1"
"ENSMUSG00000004896",0.00809221106694652,"Rrnad1"
"ENSMUSG00000000826",0.00813261645015155,"Dnajc5"
"ENSMUSG00000025228",0.00813331024395685,"Actr1a"
"ENSMUSG00000007817",0.00813530376473522,"Zmiz1"
"ENSMUSG00000024829",0.00814039069993986,"Mrpl21"
"ENSMUSG00000031156",0.00815327503164754,"Slc35a2"
"ENSMUSG00000110867",0.00815727465804281,NA
"ENSMUSG00000107374",0.00815902606687064,NA
"ENSMUSG00000028098",0.00816337187797092,"Rnf115"
"ENSMUSG00000010358",0.00818048137099974,"Ifi35"
"ENSMUSG00000031483",0.00818055986248632,"Erlin2"
"ENSMUSG00000002803",0.00818349649358619,"Btbd6"
"ENSMUSG00000024999",0.00818364532459185,"Noc3l"
"ENSMUSG00000042293",0.00818433784301719,"Gm5617"
"ENSMUSG00000020099",0.00818546653626617,"Unc5b"
"ENSMUSG00000061724",0.00818653967624474,NA
"ENSMUSG00000038344",0.00819125763924967,"Txlng"
"ENSMUSG00000002396",0.00819191008249299,"Ocel1"
"ENSMUSG00000014867",0.00819418059912411,"Surf4"
"ENSMUSG00000078919",0.00819771539326332,"Dpm1"
"ENSMUSG00000001783",0.00819813573244516,"Rtcb"
