"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"1","ENSMUSG00000097426",10.1151844645807,-2.44629720228418,0.598198278718103,-4.08944206179667,4.32412058459331e-05,0.000857900724107679,NA
"2","ENSMUSG00000114943",41.9356716948087,1.64729683540724,0.289450120646639,5.69112506060504,1.26205026701715e-08,1.51754509221343e-06,"Gm8947"
"3","ENSMUSG00000114582",5.50648105294139,2.86835611764274,1.04011473836056,2.75773048093124,0.00582041653571447,0.035052380571079,"3110040M04Rik"
"4","ENSMUSG00000086235",7.63531708922497,2.11040230342089,0.598799664134369,3.52438792107826,0.000424462339777367,0.00494198134740352,NA
"5","ENSMUSG00000103928",17.2827316509606,-2.1589469083838,0.548148419742327,-3.93861740839949,8.19524892362612e-05,0.00141174496564354,NA
"6","ENSMUSG00000102211",7.12564558390907,2.33838479924465,0.817592458486021,2.86008606729906,0.00423526047959751,0.0279343075838778,NA
"7","ENSMUSG00000026235",49.5372538466289,-1.18655268367585,0.383417327497462,-3.09467673623516,0.0019702750983677,0.0158443934310928,"Epha4"
"8","ENSMUSG00000080950",40.191008095916,-1.547986042339,0.407440721691292,-3.79929143045225,0.000145110374714657,0.00216307588962364,NA
"9","ENSMUSG00000026043",987.316859959716,1.65997924654545,0.208916682031193,7.94565197190716,1.9317206766463e-15,3.00768909353828e-12,"Col3a1"
"10","ENSMUSG00000100397",34.8510763081708,1.21693642151791,0.282044544880835,4.31469582945512,1.59822805158533e-05,0.000406403693368577,"Gm28071"
"11","ENSMUSG00000099858",11846.63548372,-1.15307840833933,0.204125580084875,-5.64886776003224,1.61508031437441e-08,1.81615781351403e-06,"Gm6652"
"12","ENSMUSG00000055980",49.9334033356023,-1.81975616276559,0.508709092350627,-3.57720392681979,0.000347289234128573,0.00421431737889475,"Irs1"
"13","ENSMUSG00000100627",8.06669448852088,-2.07138297788294,0.647517750933952,-3.19895937199445,0.00137924604359608,0.0121856478255907,"A830008E24Rik"
"14","ENSMUSG00000026220",431.51419364498,-1.5412573556713,0.293054440571637,-5.25928681600897,1.44615176564742e-07,1.0199149090059e-05,"Slc16a14"
"15","ENSMUSG00000073737",110.936663821135,1.47702924514947,0.271248258480715,5.44530406728671,5.17169629939309e-08,4.51258194529261e-06,"Gm10566"
"16","ENSMUSG00000100405",360.436707865803,1.68455275600156,0.419385746945417,4.01671436921962,5.90151809219393e-05,0.00109188873586926,NA
"17","ENSMUSG00000004880",311.350805902163,-1.35709721876066,0.192186314338603,-7.0613624254725,1.64877933143628e-12,9.27026179100046e-10,"Lbr"
"18","ENSMUSG00000099342",38.5933314982063,-1.89233585903857,0.414961216542255,-4.56027161961503,5.10874967477422e-06,0.000168255330328546,"Gm18180"
"19","ENSMUSG00000042807",85.4864248629281,-1.2206656181408,0.243807521351367,-5.00667744528528,5.53776104368211e-07,2.99705404505801e-05,"Hecw2"
"20","ENSMUSG00000052331",195.373832847042,-1.00609253085515,0.279231297714163,-3.60307937932174,0.000314469441610971,0.00393154784907206,"Ankrd44"
"21","ENSMUSG00000041859",97.6620415813539,1.27281924979339,0.244452660233034,5.20681283885407,1.92111685086839e-07,1.28239792290734e-05,"Mcm3"
"22","ENSMUSG00000025936",238.254776119661,-1.08221015357878,0.3542016413021,-3.05535047663927,0.0022479766121146,0.0175612869956819,NA
"23","ENSMUSG00000044854",9.48225524986868,1.61533033595102,0.547991334432991,2.94772970748234,0.00320116824155957,0.0228392126814971,"1700056E22Rik"
"24","ENSMUSG00000039377",107.260366526966,1.26953808114014,0.278967440839461,4.55084678455622,5.34304460891835e-06,0.00017248575108312,"Hlx"
"25","ENSMUSG00000100131",21732.4983530587,-1.24196152611623,0.397304869779345,-3.12596602907482,0.00177222022576833,0.0146235261271002,NA
"26","ENSMUSG00000067736",5233.82261185721,-1.61661806927494,0.493757221271927,-3.27411529316069,0.00105993355560456,0.00995088826483852,"Gm10222"
"27","ENSMUSG00000026715",82.8245822267485,1.08592427598976,0.309353521948397,3.51030196504732,0.000447598076979598,0.00514763220235457,"Serpinc1"
"28","ENSMUSG00000043467",54.0147032037321,-1.07556865812996,0.338575059951689,-3.17675099365982,0.00148934851534415,0.0129044423873866,"Zbtb37"
"29","ENSMUSG00000038174",267.155594807993,-1.44687679126358,0.271632367852827,-5.32659933976466,1.00068561925255e-07,7.58609648662577e-06,"Hycc2"
"30","ENSMUSG00000059647",30.6739199012634,-1.43452308456422,0.542853702997973,-2.64255926899254,0.00822820628525386,0.0452082311128728,NA
"31","ENSMUSG00000101514",35.3008717084064,-1.17278718358584,0.426117546212443,-2.75226212581526,0.00591851264278531,0.0354637698053929,NA
"32","ENSMUSG00000100481",56.8809444348722,-1.01069401392226,0.371072097951809,-2.72371331474649,0.00645525137418966,0.037817870641092,"Gm7114"
"33","ENSMUSG00000026605",16.9289116488403,1.9976867122294,0.543779804315293,3.67370523211102,0.000239058498194832,0.00321087130853456,"Cenpf"
"34","ENSMUSG00000066595",149.524377310094,-1.25151036122853,0.227612120829788,-5.49843460298159,3.83177594752832e-08,3.52403068036526e-06,"Flvcr1"
"35","ENSMUSG00000101586",3.89134617180562,-3.82342905847212,1.44132708240422,-2.6527143666061,0.00798474079752235,0.0442186425397127,NA
"36","ENSMUSG00000097819",9.20255443166654,2.21746305029192,0.598148168549223,3.70721364184773,0.000209552156073524,0.00288337645531336,NA
"37","ENSMUSG00000026697",26.6633560933866,1.22788154078947,0.457495025734667,2.68392325975059,0.00727638060337692,0.0412321443989228,"Myoc"
