"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu05168","Human Diseases","Infectious disease: viral","mmu05168","Herpes simplex virus 1 infection - Mus musculus (house mouse)","28/146","464/9772",1.76044401860664e-10,3.83776796056248e-08,3.63207397523055e-08,"665001/626832/627901/665211/319535/242747/666532/230162/69930/71163/56869/73729/22776/22775/73610/102635315/331188/408062/666584/233987/629016/238692/67911/240034/22712/24132/73451/108168395",28
"mmu04068","Environmental Information Processing","Signal transduction","mmu04068","FoxO signaling pathway - Mus musculus (house mouse)","9/146","133/9772",0.000163716163423003,0.0178450618131073,0.0168886147531098,"16367/22035/12452/12576/19651/384783/11920/14377/18607",9
